file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Billing-System\src\updateProduct.java,updateProduct$Anonymous1,keyReleased/1[java.awt.event.KeyEvent],false,89,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\Billing-System\src\Invoice.java,Invoice$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,103,1,19,0,19,6,10,34,3,6,1,10,0,0,0,0,0,1,15,2,9,2,1,0,0,0,16,1,0,false
C:\projects\Billing-System\src\Invoice.java,Invoice$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,170,2,19,0,19,4,8,15,0,4,1,8,0,0,2,1,0,0,1,4,7,1,2,0,0,0,11,1,0,false
C:\projects\Billing-System\src\Invoice.java,Invoice$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,214,1,19,0,19,3,9,15,0,4,1,9,0,0,1,0,0,0,2,5,5,1,2,0,0,0,10,1,0,false
C:\projects\Billing-System\src\Sale.java,Sale$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,126,0,19,0,19,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\Billing-System\src\pdfGenerator.java,pdfGenerator,"makePdf2/2[java.lang.Object[],long]",false,106,6,2,1,1,4,9,38,0,10,2,9,1,1,1,0,1,0,10,3,10,2,2,0,0,0,32,9,0,false
C:\projects\Billing-System\src\pdfGenerator.java,pdfGenerator,"makePdf/3[java.lang.Object[],long,int]",false,30,10,2,1,1,6,15,65,0,20,3,15,1,1,1,0,2,0,16,17,20,4,2,0,0,0,62,9,0,false
C:\projects\Billing-System\src\pdfGenerator.java,pdfGenerator,sendIn2printer/1[java.lang.String],false,155,0,2,2,0,2,3,9,0,1,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,10,9,0,false
C:\projects\Billing-System\src\pdfGenerator.java,pdfGenerator,main/1[java.lang.String[]],false,164,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\projects\Billing-System\src\Sale.java,Sale$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,88,1,19,0,19,2,7,6,0,0,1,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10,1,0,false
C:\projects\Billing-System\src\deleteProduct.java,deleteProduct,deleteProduct/0,true,23,0,2,1,1,1,7,37,0,2,0,7,0,0,0,0,0,0,6,27,5,0,0,1,0,0,29,1,0,true
C:\projects\Billing-System\src\Sale.java,Sale$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,118,0,19,0,19,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\Billing-System\src\Invoice.java,Invoice$Anonymous1,itemStateChanged/1[java.awt.event.ItemEvent],false,57,0,1,0,1,2,2,10,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8,1,0,false
C:\projects\Billing-System\src\Sale.java,Sale$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,40,1,19,0,19,4,5,15,0,5,1,5,0,0,2,1,0,0,0,5,7,1,3,0,0,0,10,1,0,false
C:\projects\Billing-System\src\searchProduct.java,searchProduct,searchProduct/0,true,23,0,3,2,1,1,7,37,0,2,0,7,0,0,0,0,0,0,6,27,5,0,0,1,0,0,28,1,0,true
C:\projects\Billing-System\src\searchProduct.java,searchProduct$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,43,1,19,0,19,2,6,11,0,0,1,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,7,1,0,false
C:\projects\Billing-System\src\Login.java,Login,Login/0,true,67,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\projects\Billing-System\src\Login.java,Login,GUI/0,false,72,0,2,1,1,1,14,74,0,2,0,14,0,0,0,0,0,0,11,44,9,0,0,2,0,0,48,0,0,false
C:\projects\Billing-System\src\Login.java,Login,main/1[java.lang.String[]],false,40,0,1,0,1,1,1,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,9,0,true
C:\projects\Billing-System\src\Login.java,Login,getMac/0,false,169,1,0,0,0,5,7,21,1,6,0,7,0,0,1,0,1,1,4,2,7,1,2,0,0,0,19,9,0,false
C:\projects\Billing-System\src\addCashier.java,addCashier$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,52,1,19,0,19,3,10,11,0,0,1,10,0,0,0,0,0,0,5,0,2,0,2,0,0,0,8,1,0,false
C:\projects\Billing-System\src\AdminPanel.java,AdminPanel,AdminPanel/0,true,37,9,10,1,9,1,15,61,0,2,0,15,0,0,0,0,0,0,18,7,17,0,0,0,0,0,44,1,0,true
C:\projects\Billing-System\src\AdminPanel.java,AdminPanel,actionPerformed/1[java.awt.event.ActionEvent],false,120,0,0,0,0,11,13,88,0,0,1,13,0,0,0,0,0,0,20,18,9,1,1,0,0,0,11,1,0,false
C:\projects\Billing-System\src\addCashier.java,addCashier,addCashier/0,true,27,0,2,1,1,1,7,44,0,3,0,7,0,0,0,0,0,0,8,36,7,0,0,1,0,0,31,1,0,true
C:\projects\Billing-System\src\Login.java,Login$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,104,0,19,0,19,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
