file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\cms\src\main\java\org\dew\cms\common\ILuogo.java,ILuogo,interface,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,21,21,21,0,0,0,21,0,0,23,0,0,0,0,0,21,0,21,0,21,0,0,0,0,26,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\util\PopUpRichText.java,org.dew.cms.gui.util.PopUpRichText$Anonymous2,anonymous,0,0,0,0,15,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0,0,6,8,8,1,6,4,0,0,0,19,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\util\PopUpRichText.java,org.dew.cms.gui.util.PopUpRichText$Anonymous1,anonymous,0,0,0,0,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\util\PopUpRichText.java,org.dew.cms.gui.util.PopUpRichText,class,9,11,2,9,78,5,0,74,24,0.83653843,0.071428575,0.10714286,8,1,6,0,2,0,8,0,0,0,13,1,0,1,12,0,1,0,9,329,30,4,32,1,1,85,69,92,35,77,5,2,0,0,141,1,0
C:\projects\cms\src\main\java\org\dew\cms\common\IOpzioni.java,IOpzioni,interface,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,10,0,0,12,0,0,0,0,0,10,0,10,0,10,0,0,0,0,20,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\dialogs\IstitutiLookUpFinder.java,org.dew.cms.gui.dialogs.IstitutiLookUpFinder,class,3,4,1,3,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,2,0,0,1,2,6,0,6,1,0,0,0,24,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticoli.java,org.dew.cms.gui.forms.GUIArticoli$Anonymous1,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,28,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIIstituti.java,org.dew.cms.gui.forms.GUIIstituti$Anonymous2,anonymous,1,1,0,1,3,1,0,11,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,17,1,0,0,0,0,0,1,3,0,3,1,0,0,0,29,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIIstituti.java,org.dew.cms.gui.forms.GUIIstituti$Anonymous3,anonymous,0,0,0,0,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIIstituti.java,org.dew.cms.gui.forms.GUIIstituti$Anonymous1,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticoli.java,org.dew.cms.gui.forms.GUIArticoli$Anonymous6,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,16,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUITipiArticolo.java,org.dew.cms.gui.forms.GUITipiArticolo$Anonymous1,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\src\main\java\org\dew\cms\ws\WSTag.java,org.dew.cms.ws.WSTag,class,8,12,4,8,154,1,0,77,21,0.33333334,0.40441176,0.40441176,18,8,17,1,0,0,17,0,0,0,1,1,0,0,1,0,0,0,36,693,32,8,70,42,1,103,55,190,21,123,3,0,0,0,109,1,12
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticoli.java,org.dew.cms.gui.forms.GUIArticoli$Anonymous2,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,2,0,0,0,9,-1,0
C:\projects\cms\src\test\java\org\dew\test\TestCMS.java,org.dew.test.TestCMS,class,5,6,1,5,3,2,0,2,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticoli.java,org.dew.cms.gui.forms.GUIArticoli$Anonymous3,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,28,-1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\dialogs\DialogHTMLPage.java,org.dew.cms.gui.dialogs.DialogHTMLPage,class,3,6,3,3,9,2,0,15,22,0.9285714,0.10714286,0.10714286,8,1,7,0,1,0,8,0,0,0,7,1,0,1,6,0,1,0,1,86,5,0,0,1,0,2,9,7,6,10,1,1,0,0,55,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIArticoli.java,org.dew.cms.gui.forms.GUIArticoli$Anonymous4,anonymous,1,1,0,1,3,1,0,11,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,17,1,0,0,0,0,0,1,3,0,3,1,0,0,0,29,-1,0
